Year,Month,Day,Latitude,Longitude,Depth,Magnitude
2026,4,18,35.98611,30.33111,21.52,3.6
2026,4,18,38.08889,28.97861,12.0,3.1
2026,4,17,39.64833,39.67139,10.94,4.1
2026,4,17,37.86389,36.4675,6.99,3.0
2026,4,17,37.85056,36.4725,7.0,3.2
2026,4,16,39.22944,28.97,10.64,3.6
2026,4,16,37.88944,36.48583,7.0,3.0
2026,4,15,38.58639,40.88917,7.0,3.0
2026,4,15,36.97333,36.25306,17.98,3.0
2026,4,15,40.43722,28.44778,6.01,3.5
2026,4,14,40.43556,28.45667,12.04,3.9
2026,4,14,37.95,32.38417,11.94,3.2
2026,4,13,35.81917,30.31778,27.87,3.8
2026,4,13,39.50278,39.24083,7.12,4.0
2026,4,13,35.71778,30.34361,17.46,3.2
2026,4,13,35.78417,30.25722,16.17,4.7
2026,4,13,35.80306,30.26417,26.05,3.5
2026,4,13,36.07139,27.42278,14.23,3.5
2026,4,13,35.83361,28.025,18.87,3.6
2026,4,13,39.01056,42.84194,7.0,3.4
2026,4,13,38.37222,38.76083,11.38,3.1
2026,4,11,39.13833,28.355,6.92,3.6
2026,4,11,39.23639,28.97778,7.93,3.0
2026,4,11,39.24028,28.99278,11.73,3.7
2026,4,11,39.255,28.94389,5.57,3.3
2026,4,11,39.14111,28.94222,7.0,3.2
2026,4,11,39.25139,28.97,9.12,4.8
2026,4,9,38.39667,38.94333,12.17,3.3
2026,4,8,38.06694,28.98833,7.97,3.4
2026,4,8,40.83639,34.16472,11.01,4.0
2026,4,8,39.55667,27.72417,6.98,3.0
2026,4,7,38.07333,28.98972,11.11,4.0
2026,4,6,38.93472,25.95056,14.39,3.6
2026,4,5,39.24028,28.95917,12.65,3.4
2026,4,5,39.13583,28.34917,8.41,3.0
2026,4,4,37.6175,35.55306,7.0,3.2
2026,4,4,38.83306,43.58333,13.24,3.2
2026,4,4,38.83278,43.54194,7.0,5.2
2026,4,4,40.64361,36.79361,9.58,3.1
2026,4,3,37.30389,35.48111,16.57,3.3
2026,4,3,37.32694,37.03639,13.53,3.0
2026,4,3,38.52694,44.29194,7.0,3.3
